year,Bank nonperforming loans to total gross loans (%),"Central government debt, total (% of GDP)",Domestic credit to private sector (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),"Government expenditure on education, total (% of GDP)",High-technology exports (% of manufactured exports),"Inflation, consumer prices (annual %)","Population, total",Research and development expenditure (% of GDP)
1993,,,96.9026344210731,6.18688207614214,13.8837293021031,1.65785002708435,,14.6100786356603,1178440000.0,
1994,,,85.882585771154,5.98718593345142,13.0368066319673,1.98571002483368,,24.2569897243361,1191835000.0,
1995,,,84.206050702349,4.88086300514972,10.9539543428699,1.84192001819611,,16.7912251650917,1204855000.0,
1996,,,89.4555815789448,4.65181266315599,9.92255675231162,1.85338997840881,,8.31316028893904,1217550000.0,0.563239991664886
1997,,,96.7258194376823,4.72534365272128,9.23677989162672,,,2.78646505531886,1230075000.0,0.638729989528656
1998,,,105.193223282686,4.43550120275088,7.84595178761953,1.84432995319366,,-0.773186011549305,1241935000.0,0.646889984607697
1999,,,110.383524583833,3.74895859312295,7.66165150053656,1.88803994655609,,-1.40147268276465,1252735000.0,0.749629974365234
2000,,,111.122970939299,3.47512597253058,8.49009340575191,,,0.347811226864599,1262645000.0,0.893159985542297
2001,,,110.044590706126,3.51298867998456,8.3357334781433,,,0.719125609120107,1271850000.0,0.940330028533936
2002,,,117.49869856029,3.60908135293279,9.13363078993316,,,-0.731970902350276,1280400000.0,1.05786001682281
2003,,,125.671432607624,3.48741875884679,10.038030481108,,,1.12760348729636,1288400000.0,1.12037003040314
2004,,,118.6361030068,3.48364146448105,10.1136213780461,,,3.82463743108159,1296075000.0,1.21498000621796
2005,,,111.842924826452,4.55426329697516,11.3945918097286,,,1.77641407667574,1303720000.0,1.30791997909546
2006,,,109.158387197031,4.50860069139517,12.7209556651735,,,1.64943099455862,1311020000.0,1.36854004859924
2007,,,105.787508532942,4.4009836314446,14.2308609330803,2.70073485374451,30.1508023319562,4.81676767378831,1317885000.0,1.37369000911713
2008,,,102.00356622006,3.73361071056151,9.65067891955702,3.63178825378418,29.3636567240237,5.92525137041095,1324655000.0,1.44591999053955
2009,,,124.408008908592,2.56889432679988,9.39872563237978,3.75152206420898,31.9377905496789,-0.728165250932952,1331260000.0,1.66480004787445
2010,1.13237045139299,,126.579494210428,4.00354458563825,10.6358710646812,3.75464248657227,32.1236545637555,3.17532475269199,1337705000.0,1.7137199640274
2011,0.961585528954036,,123.095927186754,3.70880670399236,9.55083217886229,3.52196502685547,30.4839309337386,5.55389892257492,1345035000.0,1.78033995628357
2012,0.953674330051852,,128.922639036534,2.82710525795696,7.86373644866194,3.94409418106079,30.8486831710094,2.61952432645544,1354190000.0,1.91214001178741
2013,0.999702805112438,,134.319251401012,3.03985503240276,7.766150097539,3.71047639846802,31.5743629654427,2.62105001748115,1363240000.0,1.99785995483398
2014,1.24873335628106,,140.236886965913,2.55924764977625,7.42576365645755,3.58033418655396,29.6954148919299,1.92164162788521,1371860000.0,2.02242994308472
2015,1.67388016445151,,152.594499832597,2.19217761574531,7.04132887865481,3.81382989883423,30.4219454271799,1.43702380935655,1379860000.0,2.05700993537903
2016,1.74447934478824,,156.229943475554,1.55563695890012,6.84876220503246,3.76111555099487,30.2426414089164,2.00000182191941,1387790000.0,2.10033011436462
2017,1.74435460635256,,154.895051691759,1.34912371356576,6.94720079327288,3.66745042800903,30.9072386248438,1.59313600071434,1396215000.0,2.11602997779846
2018,1.83294883223349,,157.812078588381,1.69389432987351,6.74977383247717,3.54249453544617,31.5450983818224,2.07479039965578,1402760000.0,2.14057993888855
2019,1.86175485330958,,165.390369621906,1.31071593436329,5.95050075376979,3.54105472564697,30.817204339562,2.89923416358227,1407745000.0,2.2446300983429
2020,1.83961969163289,,182.868059385178,1.7231756197056,2.23863835629443,3.57295632362366,31.2755857286816,2.4194218945778,1411100000.0,2.40666007995605
2021,1.72739169215062,,177.267426847586,1.93078624097438,8.44747829343031,3.29784345626831,29.9578149531835,0.981015135544851,1412360000.0,
2022,,,185.363493889347,1.00297929663148,2.9908045977096,,,1.9735755573906,1412175000.0,
