,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
23,China,CHN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,8.73966440580174,7.36964458960193,6.96050941450686,6.86498179669214,6.63226290179475,6.82747346854139,6.72966556077456,6.25262688214625,6.22192169372274,5.45256420053749,4.95234268106011,4.92181420124131,5.75603935105889,8.00039245157329,10.332968319542,9.55457878771885,8.836603433025,8.38478565252,14.1005041107918,16.3983074525026,19.9006837049257,22.475015596493,20.2867330873511,18.9070245856056,20.6000072102636,22.4893998064982,24.5532871678826,30.2788215834495,32.9062926537949,32.1133581934154,31.9893221071876,35.3965687227091,38.7722904240279,44.0047749571959,41.9301483635483,38.2395899233001,33.5607791589925,33.8146128393265,31.4800670215131,32.9640351450219,39.1550083594448,38.0506703874952,42.2129683575106,51.2556729573703,59.0460472392909,62.2016669983036,63.9666850482847,61.3062304054163,55.7917305487312,43.2706520827916,48.8567000412559,48.2267515429806,45.3238967617279,43.4565360859956,41.0622381863451,35.7366346425321,32.8091691718753,33.3629092538926,33.2671736379489,32.0577948373547,31.6993279596762,33.9211794928319,35.1256143373776,
58,China,CHN,"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2019250348606,34.4938139762285,31.7290639209599,29.7917142086247,29.1054667438557,28.1525301466177,29.8031246802454,29.552696328303,29.5991419837523,30.3956774571631,31.7579959615726,33.6983090911386,34.8532563282692,34.9490509950083,34.0629374827433,33.608239810538,34.4524458892404,38.2718267249602,38.4558751686793,39.058810717523,39.4698253516106,39.816991413207,38.7062582365564,36.6693813925048,35.3100007749515,35.5850886251279,35.176428373135,38.3735103388654,36.9659286890753,,,
60,China,CHN,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,102.477838031426,103.378133060131,100.591032911719,102.9247724265,97.5530563099531,93.7618792964245,96.6073023667073,95.0462051276335,97.7902413565736,94.219158444603,96.7680497740931,96.8476726443893,95.5305515240558,96.4089959400624,97.1347470700569,97.0275634018753,99.0435670648464,97.1197933476923,98.321372414024,99.1919907709168,99.2945637809737,99.3651039827933,98.5464528958878,99.3773403023692,100.142559484941,104.134955847417,102.595183309978,100.10344321792,101.193783428888,101.491839053557,97.8069718218806,97.1551516004424,98.7871508752519,101.63205122765,98.2293396074712,97.8999977960134,97.5891901343009,95.171340391855,95.2650170639415,96.6810165021163,97.143816771361,97.4748457331132,97.1368866904512,97.6421249016335,97.0834451674128,94.7306904446359,92.482834172195,91.4784779137112,92.0425213544368,95.4365078659831,95.4695163719207,96.8194143781514,97.3678788956604,98.1160963448785,98.3488957681113,97.2256970846444,97.6701144442164,97.8809058190917,98.8511640341493,99.2696786856137,98.6971202262899,97.0620009222641,,
63,China,CHN,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,50.4523501802598,66.2744461575915,72.1648597487524,67.6279740447008,60.5211238859786,54.8731257208766,54.0636416582835,60.2775610299855,61.7281119201881,57.47120578942,52.9367899284994,51.365541943099,52.2723711017082,51.9737319497859,51.8796194787283,50.2878762954433,53.1519775145553,50.7015384615385,47.8184900961025,49.1156439200364,50.9393281681392,53.2337926650148,53.3581315468538,53.4957305129545,50.6910213458751,50.8569000638072,51.0161990515899,49.6739336716224,49.6175994462387,51.0948901019797,49.9926018083801,47.9171579040572,45.2746198096765,43.9961611451885,44.0878176708415,45.7541656975042,46.8492422197393,45.8957577884456,45.5053240554636,46.2056166356609,46.7323584232039,45.519809663003,44.9130188337297,42.7077849953396,40.610905600723,39.586878355938,37.7519795232291,36.3695258176097,35.2878801516335,35.3272959056619,34.326341089004,34.9204283438326,35.3865349121224,35.8331311198854,36.707898358839,37.7730036550847,38.6749819498488,38.5427462169171,38.5218805184666,39.2480621307644,38.2003124728804,38.1135645405604,,
86,China,CHN,Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,,,,,,,,,,,,,,,,,,,,,,,,,62000000.0,,4000000000.0,,,542600000.0,,,1881000000.0,1529700000.0,272000000.0,914470000.0,2512900000.0,5080700000.0,2982800000.0,3965000000.0,43300000.0,508930000.0,1329770000.0,2810590000.0,788690000.0,1678120000.0,1197580000.0,1529040000.0,678770000.0,722000000.0,421470000.0,2671140000.0,3174900000.0,3682930000.0,1647500000.0,3186650000.0,3386891000.0,2950270000.0,265510000.0,9710000.0,838180000.0,264410000.0,327400000.0,
87,China,CHN,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,,,,,,,,,,,,,,,,,,,,,,,,,62000000.0,,4000000000.0,,,542600000.0,,,1881000000.0,2197000000.0,1048100000.0,987370000.0,2859100000.0,5946335000.0,3026000000.0,4347800000.0,846800000.0,997130000.0,1351330000.0,4678850000.0,1390490000.0,1678120000.0,1197580000.0,2214040000.0,678770000.0,2992000000.0,421470000.0,2671140000.0,3182820000.0,3691600000.0,1647500000.0,3186650000.0,3386891000.0,2950270000.0,265510000.0,9710000.0,838180000.0,264410000.0,563400000.0,
98,China,CHN,Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,,,,,,,,,
101,China,CHN,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
126,China,CHN,GDP per person employed (constant 2017 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2794.91357505862,3152.57571301091,3559.50060039568,3980.81709971298,4361.12687597592,4730.64176024946,5091.54328332447,5409.74327918344,5747.90649695982,6154.54833647187,6638.20165310614,7197.88335401677,7867.58906464783,8575.93449373147,9467.67556462835,10594.2881263311,12064.3935364763,13256.2993901676,14536.6441425687,16082.516906657,17525.7424907058,18895.044528293,20364.0472293844,21854.4462089009,23378.569320421,24962.2772160735,26734.5290540548,28579.5548730447,30397.0292998177,32213.1186592297,33481.1985477527,34538.9851004722,
147,China,CHN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50828123,4.25330067,4.38285255,4.41762781,4.29347467,4.17605019,3.94742203,3.67491412,3.900002,4.34958458,4.23068333,4.34274387,4.56584787,4.71490669,4.77790594,4.93827963,4.97955608,5.06592178,5.16790485,5.3502779,5.59359694,,,
