,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
3,China,CHN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1508023319562,29.3636567240237,31.9377905496789,32.1236545637555,30.4839309337386,30.8486831710094,31.5743629654427,29.6954148919299,30.4219454271799,30.2426414089164,30.9072386248438,31.5450983818224,30.817204339562,31.2755857286816,29.9578149531835,,
30,China,CHN,"Population, total",SP.POP.TOTL,667070000.0,660330000.0,665770000.0,682335000.0,698355000.0,715185000.0,735400000.0,754550000.0,774510000.0,796025000.0,818315000.0,841105000.0,862030000.0,881940000.0,900350000.0,916395000.0,930685000.0,943455000.0,956165000.0,969005000.0,981235000.0,993885000.0,1008630000.0,1023310000.0,1036825000.0,1051040000.0,1066790000.0,1084035000.0,1101630000.0,1118650000.0,1135185000.0,1150780000.0,1164970000.0,1178440000.0,1191835000.0,1204855000.0,1217550000.0,1230075000.0,1241935000.0,1252735000.0,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,1411100000.0,1412360000.0,1412175000.0,
427,China,CHN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,51.1784615384615,50.2894700004489,49.7408375608811,52.6268628075733,56.0128369645587,56.8044129374708,56.9862689284041,60.7212832215627,66.1922673045488,75.9741967525257,78.0370949013971,73.9836236530485,77.1332899211029,86.200461355157,88.3623934536212,86.3728816885016,96.9026344210731,85.882585771154,84.206050702349,89.4555815789448,96.7258194376823,105.193223282686,110.383524583833,111.122970939299,110.044590706126,117.49869856029,125.671432607624,118.6361030068,111.842924826452,109.158387197031,105.787508532942,102.00356622006,124.408008908592,126.579494210428,123.095927186754,128.922639036534,134.319251401012,140.236886965913,152.594499832597,156.229943475554,154.895051691759,157.812078588381,165.390369621906,182.868059385178,177.267426847586,185.363493889347,
472,China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,4.4873083502658e-05,0.0298196364663713,0.135296316146172,0.209664356764914,0.275698542655107,0.483945714588724,0.536046583129515,0.623424605798281,0.847702964733309,1.02255894629729,0.97565028966922,0.966308310992784,1.13883773180262,2.61316219284371,6.18688207614214,5.98718593345142,4.88086300514972,4.65181266315599,4.72534365272128,4.43550120275088,3.74895859312295,3.47512597253058,3.51298867998456,3.60908135293279,3.48741875884679,3.48364146448105,4.55426329697516,4.50860069139517,4.4009836314446,3.73361071056151,2.56889432679988,4.00354458563825,3.70880670399236,2.82710525795696,3.03985503240276,2.55924764977625,2.19217761574531,1.55563695890012,1.34912371356576,1.69389432987351,1.31071593436329,1.7231756197056,1.93078624097438,1.00297929663148,
567,China,CHN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,China,CHN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563239991664886,0.638729989528656,0.646889984607697,0.749629974365234,0.893159985542297,0.940330028533936,1.05786001682281,1.12037003040314,1.21498000621796,1.30791997909546,1.36854004859924,1.37369000911713,1.44591999053955,1.66480004787445,1.7137199640274,1.78033995628357,1.91214001178741,1.99785995483398,2.02242994308472,2.05700993537903,2.10033011436462,2.11602997779846,2.14057993888855,2.2446300983429,2.40666007995605,,,
573,China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23383553065604,18.8118179448753,18.2456383621648,3.05229012075235,3.55668565220449,6.3539813402487,14.6100786356603,24.2569897243361,16.7912251650917,8.31316028893904,2.78646505531886,-0.773186011549305,-1.40147268276465,0.347811226864599,0.719125609120107,-0.731970902350276,1.12760348729636,3.82463743108159,1.77641407667574,1.64943099455862,4.81676767378831,5.92525137041095,-0.728165250932952,3.17532475269199,5.55389892257492,2.61952432645544,2.62105001748115,1.92164162788521,1.43702380935655,2.00000182191941,1.59313600071434,2.07479039965578,2.89923416358227,2.4194218945778,0.981015135544851,1.9735755573906,
638,China,CHN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,1.38873994350433,1.60476005077362,1.65082001686096,1.76115000247955,1.70850002765656,1.81657004356384,1.74953997135162,1.95884001255035,2.14805006980896,1.91190004348755,1.94880998134613,2.03448009490967,2.07692003250122,1.99863004684448,2.00814008712769,2.06154990196228,1.80425000190735,1.76417994499207,,,,1.65455996990204,1.65785002708435,1.98571002483368,1.84192001819611,1.85338997840881,,1.84432995319366,1.88803994655609,,,,,,,,2.70073485374451,3.63178825378418,3.75152206420898,3.75464248657227,3.52196502685547,3.94409418106079,3.71047639846802,3.58033418655396,3.81382989883423,3.76111555099487,3.66745042800903,3.54249453544617,3.54105472564697,3.57295632362366,3.29784345626831,,
830,China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-27.2700000039227,-5.57999999020275,10.2999999964787,18.1799999937238,16.9500000039607,10.6499999984073,-5.77000000405035,-4.09999998651148,16.9399999960691,19.2999999967145,7.05999999854134,3.81000000021395,7.76000000082682,2.31000000295589,8.71999999750163,-1.5700000016835,7.57000000137049,11.3259779879134,7.5913246800003,7.83414501593799,5.11276109058912,9.01711391382203,10.7702025065715,15.1915400236134,13.4306775204064,8.94996176438008,11.6574277931357,11.222594982521,4.20633435547815,3.92025136776569,9.26278608406234,14.2245295931824,13.8837293021031,13.0368066319673,10.9539543428699,9.92255675231162,9.23677989162672,7.84595178761953,7.66165150053656,8.49009340575191,8.3357334781433,9.13363078993316,10.038030481108,10.1136213780461,11.3945918097286,12.7209556651735,14.2308609330803,9.65067891955702,9.39872563237978,10.6358710646812,9.55083217886229,7.86373644866194,7.766150097539,7.42576365645755,7.04132887865481,6.84876220503246,6.94720079327288,6.74977383247717,5.95050075376979,2.23863835629443,8.44747829343031,2.9908045977096,
1421,China,CHN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13237045139299,0.961585528954036,0.953674330051852,0.999702805112438,1.24873335628106,1.67388016445151,1.74447934478824,1.74435460635256,1.83294883223349,1.86175485330958,1.83961969163289,1.72739169215062,,
